Entity;Year;Solid fuel consumption (CDIAC (2016));Liquid fuel consumption (CDIAC (2016));Gas fuel consumption (CDIAC (2016));Cement production (CDIAC (2016));Gas flaring (CDIAC (2016))
Germany;1792;128;0;0;0;
Germany;1793;131;0;0;0;
Germany;1794;121;0;0;0;
Germany;1795;122;0;0;0;
Germany;1796;146;0;0;0;
Germany;1797;150;0;0;0;
Germany;1798;157;0;0;0;
Germany;1799;171;0;0;0;
Germany;1800;217;0;0;0;
Germany;1801;146;0;0;0;
Germany;1802;151;0;0;0;
Germany;1803;146;0;0;0;
Germany;1804;275;0;0;0;
Germany;1805;284;0;0;0;
Germany;1806;256;0;0;0;
Germany;1807;734;0;0;0;
Germany;1808;245;0;0;0;
Germany;1809;254;0;0;0;
Germany;1810;267;0;0;0;
Germany;1811;253;0;0;0;
Germany;1812;249;0;0;0;
Germany;1813;243;0;0;0;
Germany;1814;241;0;0;0;
Germany;1815;281;0;0;0;
Germany;1816;651;0;0;0;
Germany;1817;923;0;0;0;
Germany;1818;964;0;0;0;
Germany;1819;894;0;0;0;
Germany;1820;923;0;0;0;
Germany;1821;964;0;0;0;
Germany;1822;991;0;0;0;
Germany;1823;1101;0;0;0;
Germany;1824;882;0;0;0;
Germany;1825;1184;0;0;0;
Germany;1826;1143;0;0;0;
Germany;1827;1239;0;0;0;
Germany;1828;1239;0;0;0;
Germany;1829;991;0;0;0;
Germany;1830;1308;0;0;0;
Germany;1831;1253;0;0;0;
Germany;1832;941;0;0;0;
Germany;1833;1195;0;0;0;
Germany;1834;1204;0;0;0;
Germany;1835;1346;0;0;0;
Germany;1836;1417;0;0;0;
Germany;1837;1624;0;0;0;
Germany;1838;1810;0;0;0;
Germany;1839;1916;0;0;0;
Germany;1840;2504;0;0;0;
Germany;1841;2606;0;0;0;
Germany;1842;2970;0;0;0;
Germany;1843;2811;0;0;0;
Germany;1844;2970;0;0;0;
Germany;1845;3442;0;0;0;
Germany;1846;3599;0;0;0;
Germany;1847;3777;0;0;0;
Germany;1848;3501;0;0;0;
Germany;1849;3718;0;0;0;
Germany;1850;4132;0;0;0;
Germany;1851;4604;0;0;0;
Germany;1852;5233;0;0;0;
Germany;1853;5666;0;0;0;
Germany;1854;6650;0;0;0;
Germany;1855;7810;0;0;0;
Germany;1856;8440;0;0;0;
Germany;1857;8990;0;0;0;
Germany;1858;9719;0;0;0;
Germany;1859;9227;0;0;0;
Germany;1860;9933;0;0;0;
Germany;1861;11280;0;0;0;
Germany;1862;12429;0;0;0;
Germany;1863;13478;0;0;0;
Germany;1864;15459;0;0;0;
Germany;1865;17312;10;0;0;
Germany;1866;17141;28;0;0;
Germany;1867;18823;51;0;0;
Germany;1868;20237;60;0;0;
Germany;1869;21101;76;0;0;
